host	resolved_name	host_genus	host_category
Accipiter nisus	Accipiter nisus	Accipiter	Avian
Acerodon celebensis	Acerodon celebensis	Acerodon	Mammal
Acinonyx jubatus	Acinonyx jubatus	Acinonyx	Mammal
Aethomys hindei	Aethomys hindei	Aethomys	Mammal
Ailurus fulgens	Ailurus fulgens	Ailurus	Mammal
Akodon cursor	Akodon cursor	Akodon	Mammal
Alexandromys fortis	Alexandromys fortis	Alexandromys	Mammal
Alisterus scapularis	Alisterus scapularis	Alisterus	Avian
Anas acuta	Anas acuta	Anas	Avian
Anas castanea	Anas castanea	Anas	Avian
Anas crecca	Anas crecca	Anas	Avian
Anas platyrhynchos	Anas platyrhynchos	Anas	Avian
Anas superciliosa	Anas superciliosa	Anas	Avian
Anatidae	Anatidae	Anatidae	Avian
Anoura caudifer	Anoura caudifer	Anoura	Mammal
Anourosorex squamipes	Anourosorex squamipes	Anourosorex	Mammal
Anous tenuirostris	Anous tenuirostris	Anous	Avian
Anser	Anser	Anser	Avian
Anser anser	Anser anser	Anser	Avian
Anser cygnoides	Anser cygnoides	Anser	Avian
Anser indicus	Anser indicus	Anser	Avian
Anser sp.	Anser sp.	Anser	Avian
Anteliomys custos	Anteliomys custos	Anteliomys	Mammal
Apodemus agrarius	Apodemus agrarius	Apodemus	Mammal
Apodemus chevrieri	Apodemus chevrieri	Apodemus	Mammal
Apodemus flavicollis	Apodemus flavicollis	Apodemus	Mammal
Apodemus peninsulae	Apodemus peninsulae	Apodemus	Mammal
Apodemus sylvaticus	Apodemus sylvaticus	Apodemus	Mammal
Ardeola	Ardeola	Ardeola	Avian
Arenaria interpres	Arenaria interpres	Arenaria	Avian
Arnoglossus sp.	Arnoglossus sp.	Arnoglossus	Other
Artibeus lituratus	Artibeus lituratus	Artibeus	Mammal
Artibeus planirostris	Artibeus planirostris	Artibeus	Mammal
Asterropteryx semipunctata	Asterropteryx semipunctata	Asterropteryx	Other
Ateles chamek	Ateles chamek	Ateles	Mammal
Aves	Aves	Aves	Avian
Aythya fuligula	Aythya fuligula	Aythya	Avian
Aythya marila	Aythya marila	Aythya	Avian
Balaenoptera acutorostrata	Balaenoptera acutorostrata	Balaenoptera	Mammal
Balionycteris maculata	Balionycteris maculata	Balionycteris	Mammal
Bandicota bengalensis	Bandicota bengalensis	Bandicota	Mammal
Bandicota indica	Bandicota indica	Bandicota	Mammal
Bandicota savilei	Bandicota savilei	Bandicota	Mammal
Banjos banjos	Banjos banjos	Banjos	Other
Barbastella barbastellus	Barbastella barbastellus	Barbastella	Mammal
Benthochromis horii	Benthochromis horii	Benthochromis	Other
Berylmys bowersi	Berylmys bowersi	Berylmys	Mammal
Betta splendens	Betta splendens	Betta	Other
Blenniella	Blenniella	Blenniella	Other
Bos grunniens	Bos grunniens	Bos	Mammal
Bos mutus	Bos mutus	Bos	Mammal
Bos taurus	Bos taurus	Bos	Mammal
Bovidae	Bovidae	Bovidae	Mammal
Bubalus bubalis	Bubalus bubalis	Bubalus	Mammal
Budorcas tibetana	Budorcas tibetana	Budorcas	Mammal
Bufo gargarizans	Bufo gargarizans	Bufo	Other
Cabillus tongarevae	Cabillus tongarevae	Cabillus	Other
Cairina moschata	Cairina moschata	Cairina	Avian
Calidris ruficollis	Calidris ruficollis	Calidris	Avian
Calliope calliope	Calliope calliope	Calliope	Avian
Callosciurus erythraeus	Callosciurus erythraeus	Callosciurus	Mammal
Callosciurus notatus	Callosciurus notatus	Callosciurus	Mammal
Calotes versicolor	Calotes versicolor	Calotes	Other
Camelus bactrianus	Camelus bactrianus	Camelus	Mammal
Camelus dromedarius	Camelus dromedarius	Camelus	Mammal
Canis lupus	Canis lupus	Canis	Mammal
Canis lupus familiaris	Canis lupus familiaris	Canis	Mammal
Capra hircus	Capra hircus	Capra	Mammal
Capreolus capreolus	Capreolus capreolus	Capreolus	Mammal
Caracal caracal	Caracal caracal	Caracal	Mammal
Cardioderma cor	Cardioderma cor	Cardioderma	Mammal
Carollia perspicillata	Carollia perspicillata	Carollia	Mammal
