host_genus	host_class	host_order	host_family	host_broad_group
Homo	Mammalia	Primates	Hominidae	primate
Pan	Mammalia	Primates	Hominidae	primate
Gorilla	Mammalia	Primates	Hominidae	primate
Hoolock	Mammalia	Primates	Hylobatidae	primate
Hylobatidae	Mammalia	Primates	Hylobatidae	primate
Macaca	Mammalia	Primates	Cercopithecidae	primate
Papio	Mammalia	Primates	Cercopithecidae	primate
Mandrillus	Mammalia	Primates	Cercopithecidae	primate
Semnopithecus	Mammalia	Primates	Cercopithecidae	primate
Trachypithecus	Mammalia	Primates	Cercopithecidae	primate
Chlorocebus	Mammalia	Primates	Cercopithecidae	primate
Ateles	Mammalia	Primates	Atelidae	primate
Acinonyx	Mammalia	Carnivora	Felidae	carnivore
Caracal	Mammalia	Carnivora	Felidae	carnivore
Felis	Mammalia	Carnivora	Felidae	carnivore
Leopardus	Mammalia	Carnivora	Felidae	carnivore
Panthera	Mammalia	Carnivora	Felidae	carnivore
Canis	Mammalia	Carnivora	Canidae	carnivore
Cerdocyon	Mammalia	Carnivora	Canidae	carnivore
Nyctereutes	Mammalia	Carnivora	Canidae	carnivore
Vulpes	Mammalia	Carnivora	Canidae	carnivore
Mustela	Mammalia	Carnivora	Mustelidae	carnivore
Neogale	Mammalia	Carnivora	Mustelidae	carnivore
Paguma	Mammalia	Carnivora	Viverridae	carnivore
Paradoxurus	Mammalia	Carnivora	Viverridae	carnivore
Ailurus	Mammalia	Carnivora	Ailuridae	carnivore
Odobenus	Mammalia	Carnivora	Odobenidae	marine_mammal
Otariidae	Mammalia	Carnivora	Otariidae	marine_mammal
Phocarctos	Mammalia	Carnivora	Otariidae	marine_mammal
Zalophus	Mammalia	Carnivora	Otariidae	marine_mammal
Eumetopias	Mammalia	Carnivora	Otariidae	marine_mammal
Orcinus	Mammalia	Cetacea	Delphinidae	marine_mammal
Tursiops	Mammalia	Cetacea	Delphinidae	marine_mammal
Balaenoptera	Mammalia	Cetacea	Balaenopteridae	marine_mammal
Bos	Mammalia	Artiodactyla	Bovidae	ungulate
Bubalus	Mammalia	Artiodactyla	Bovidae	ungulate
Budorcas	Mammalia	Artiodactyla	Bovidae	ungulate
Capra	Mammalia	Artiodactyla	Bovidae	ungulate
Ovibos	Mammalia	Artiodactyla	Bovidae	ungulate
Ovis	Mammalia	Artiodactyla	Bovidae	ungulate
Pseudois	Mammalia	Artiodactyla	Bovidae	ungulate
Cervus	Mammalia	Artiodactyla	Cervidae	ungulate
Capreolus	Mammalia	Artiodactyla	Cervidae	ungulate
Odocoileus	Mammalia	Artiodactyla	Cervidae	ungulate
Camelus	Mammalia	Artiodactyla	Camelidae	ungulate
Sus	Mammalia	Artiodactyla	Suidae	ungulate
Mus	Mammalia	Rodentia	Muridae	rodent
Rattus	Mammalia	Rodentia	Muridae	rodent
Mastomys	Mammalia	Rodentia	Muridae	rodent
Praomys	Mammalia	Rodentia	Muridae	rodent
Hylomyscus	Mammalia	Rodentia	Muridae	rodent
Hybomys	Mammalia	Rodentia	Muridae	rodent
Heimyscus	Mammalia	Rodentia	Muridae	rodent
Lophuromys	Mammalia	Rodentia	Muridae	rodent
Leopoldamys	Mammalia	Rodentia	Muridae	rodent
Niviventer	Mammalia	Rodentia	Muridae	rodent
Sundamys	Mammalia	Rodentia	Muridae	rodent
Bandicota	Mammalia	Rodentia	Muridae	rodent
Berylmys	Mammalia	Rodentia	Muridae	rodent
Rhizomys	Mammalia	Rodentia	Spalacidae	rodent
Typhlomys	Mammalia	Rodentia	Platacanthomyidae	rodent
Tscherskia	Mammalia	Rodentia	Cricetidae	rodent
Cricetulus	Mammalia	Rodentia	Cricetidae	rodent
Cricetomys	Mammalia	Rodentia	Nesomyidae	rodent
Microtus	Mammalia	Rodentia	Cricetidae	rodent
Myodes	Mammalia	Rodentia	Cricetidae	rodent
Alexandromys	Mammalia	Rodentia	Cricetidae	rodent
Stenocranius	Mammalia	Rodentia	Cricetidae	rodent
Volemys	Mammalia	Rodentia	Cricetidae	rodent
