organism	group
Astrovirus human/SZ908/China/2008	HumanAstV
Human astrovirus	HumanAstV
Human astrovirus 1	HumanAstV
Human astrovirus 1 Beijing/01/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/04/2006/CHN	HumanAstV
Human astrovirus 1 Beijing/06/2006/CHN	HumanAstV
Human astrovirus 1 Beijing/102/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/106/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/110/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/113/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/128/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/129/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/131/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/134/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/139/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/141/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/176/2006/CHN	HumanAstV
Human astrovirus 1 Beijing/180/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/183/2006/CHN	HumanAstV
Human astrovirus 1 Beijing/189/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/189/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/198/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/204/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/210/2006/CHN	HumanAstV
Human astrovirus 1 Beijing/214/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/228/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/234/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/234/2006/CHN	HumanAstV
Human astrovirus 1 Beijing/237/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/239/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/249/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/254/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/265/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/287/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/291/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/293/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/309/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/317/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/327/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/33/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/330/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/333/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/335/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/347/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/352/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/362/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/375/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/377/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/41/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/46/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/60/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/69/2007/CHN	HumanAstV
Human astrovirus 1 Beijing/75/2005/CHN	HumanAstV
Human astrovirus 1 Beijing/79/2006/CHN	HumanAstV
Human astrovirus 1 Beijing/82/2007/CHN	HumanAstV
Human astrovirus 1 Tianjin/114/2008/CHN	HumanAstV
Human astrovirus 1 Tianjin/124/2008/CHN	HumanAstV
Human astrovirus 1 Tianjin/133/2008/CHN	HumanAstV
Human astrovirus 1 Tianjin/217/2008/CHN	HumanAstV
Human astrovirus 1 Tianjin/242/2008/CHN	HumanAstV
Human astrovirus 1 Tianjin/499/2008/CHN	HumanAstV
Human astrovirus 1 Tianjin/508/2008/CHN	HumanAstV
Human astrovirus 1 Tianjin/565/2008/CHN	HumanAstV
Human astrovirus 1/GUP024Astro/2004/TR	HumanAstV
Human astrovirus 1/GUP216Astro/2005/TR	HumanAstV
Human astrovirus 1/ICMH469Astro/2006/BD	HumanAstV
Human astrovirus 1/ICMH573Astro/2006/BD	HumanAstV
Human astrovirus 1/ICMH590Astro/2006/BD	HumanAstV
Human astrovirus 1/ICMH642Astro/2006/BD	HumanAstV
Human astrovirus 1/ICMH666Astro/2006/BD	HumanAstV
Human astrovirus 1a	HumanAstV
Human astrovirus 1b	HumanAstV
Human astrovirus 1d	HumanAstV
Human astrovirus 2	HumanAstV
Human astrovirus 2c	HumanAstV
Human astrovirus 3	HumanAstV
Human astrovirus 3 Beijing/124/2007/CHN	HumanAstV
Human astrovirus 3a	HumanAstV
Human astrovirus 4	HumanAstV
Human astrovirus 4a	HumanAstV
Human astrovirus 4c	HumanAstV
Human astrovirus 5	HumanAstV
Human astrovirus 5/GUP125Astro/2005/TR	HumanAstV
Human astrovirus 6	HumanAstV
Human astrovirus 6 Beijing/192/2007/CHN	HumanAstV
Human astrovirus 6/ICMH108Astro/2005/BD	HumanAstV
Human astrovirus 6/ICMH433Astro/2006/BD	HumanAstV
Human astrovirus 7	HumanAstV
Human astrovirus 8	HumanAstV
Human astrovirus BF34	HumanAstV
Human astrovirus GGH-2004	HumanAstV
Human astrovirus Hu/CMH053/01/2001/THA	HumanAstV
Human astrovirus Hu/CMH074/01/2001/THA	HumanAstV
Human astrovirus Hu/CMH259/01/2001/THA	HumanAstV
Human astrovirus Hu/CMH265/00/2000/THA	HumanAstV
Human astrovirus Hu/CMH350/02/2002/THA	HumanAstV
Human astrovirus Hu/CMH352/02/2002/THA	HumanAstV
Human astrovirus Hu/CMH362/01/2001/THA	HumanAstV
Human astrovirus MLB2	HumanAstV
Human astrovirus MLB2/GUP187Astro/2005/TR	HumanAstV
Human astrovirus MLB3	HumanAstV
Human astrovirus UK1	HumanAstV
Human astrovirus VA2	HumanAstV
Astrovirus BAstV/B122/HUN/2013	BatAstV
Astrovirus BAstV/B14/HUN/2012	BatAstV
Astrovirus BAstV/B23/HUN/2012	BatAstV
Astrovirus BAstV/BS50/HUN/2013	BatAstV
Astrovirus BAstV/Bb1/HUN/2013	BatAstV
Astrovirus BAstV/M24/HUN/2012	BatAstV
Astrovirus BAstV/M44/HUN/2013	BatAstV
Astrovirus BAstV/V9/HUN/2013	BatAstV
Astrovirus BatAstV M.bech/GER	BatAstV
Astrovirus BatAstV M.daub/GER	BatAstV
Astrovirus BatAstV M.nat/GER	BatAstV
Astrovirus BatAstV P.aur/GER	BatAstV
Astrovirus wild boar/WBAstV-1/2011/HUN	BatAstV
Bastrovirus-like_virus/VietNam/Bat/17819_21	BatAstV
